idx1,idx2,Lat,Lon,Label,Name
60,3,52.21,10.25,15,other_land
61,3,52.3,9.45,15,other_land
62,3,52.38,8.65,15,other_land
63,3,52.45,7.84,15,other_land
64,3,52.51,7.03,15,other_land
65,3,52.57,6.22,15,other_land
66,3,52.62,5.4,14,other_sea
67,3,52.66,4.59,14,other_sea
68,3,52.7,3.77,14,other_sea
69,3,52.73,2.95,14,other_sea
70,3,52.75,2.13,14,other_sea
71,3,52.77,1.3,15,other_land
72,3,52.77,0.48,15,other_land
73,3,52.77,-0.34,15,other_land
74,3,52.77,-1.17,15,other_land
75,3,52.75,-1.99,15,other_land
76,3,52.73,-2.81,15,other_land
77,3,52.7,-3.63,15,other_land
78,3,52.67,-4.45,14,other_sea
79,3,52.63,-5.27,14,other_sea
80,3,52.58,-6.08,14,other_sea
81,3,52.52,-6.9,15,other_land
82,3,52.46,-7.71,15,other_land
83,3,52.39,-8.51,15,other_land
84,3,52.31,-9.32,15,other_land
85,3,52.23,-10.12,15,other_land
86,3,52.14,-10.91,14,other_sea
87,3,52.04,-11.71,14,other_sea
88,3,51.93,-12.49,14,other_sea
89,3,51.82,-13.27,14,other_sea
90,3,51.71,-14.05,14,other_sea
91,3,51.58,-14.82,14,other_sea
92,3,51.45,-15.59,14,other_sea
93,3,51.32,-16.35,14,other_sea
94,3,51.17,-17.11,14,other_sea
95,3,51.02,-17.86,14,other_sea
96,3,50.87,-18.6,14,other_sea
97,3,50.71,-19.34,14,other_sea
98,3,50.54,-20.07,14,other_sea
99,3,50.37,-20.79,14,other_sea
100,3,50.19,-21.51,14,other_sea
101,3,50.01,-22.21,14,other_sea
102,3,49.82,-22.92,14,other_sea
103,3,49.63,-23.61,14,other_sea
104,3,49.43,-24.3,14,other_sea
105,3,49.23,-24.98,14,other_sea
106,3,49.02,-25.65,14,other_sea
107,3,48.8,-26.32,14,other_sea
108,3,48.59,-26.98,14,other_sea
109,3,48.36,-27.63,14,other_sea
110,3,48.13,-28.27,14,other_sea
111,3,47.9,-28.9,14,other_sea
112,3,47.67,-29.53,14,other_sea
113,3,47.43,-30.15,14,other_sea
114,3,47.18,-30.76,14,other_sea
115,3,46.93,-31.37,14,other_sea
116,3,46.68,-31.96,14,other_sea
117,3,46.42,-32.55,14,other_sea
118,3,46.16,-33.13,14,other_sea
119,3,45.9,-33.71,14,other_sea
120,3,45.63,-34.27,14,other_sea
121,3,45.36,-34.83,14,other_sea
122,3,45.09,-35.38,14,other_sea
123,3,44.81,-35.93,14,other_sea
124,3,44.53,-36.46,14,other_sea
125,3,44.25,-36.99,14,other_sea
126,3,43.96,-37.51,14,other_sea
127,3,43.67,-38.03,14,other_sea
128,3,43.38,-38.53,14,other_sea
129,3,43.09,-39.03,14,other_sea
130,3,42.79,-39.53,14,other_sea
131,3,42.49,-40.01,14,other_sea
132,3,42.19,-40.49,14,other_sea
133,3,41.89,-40.97,14,other_sea
134,3,41.58,-41.43,14,other_sea
135,3,41.27,-41.89,14,other_sea
136,3,40.96,-42.35,14,other_sea
137,3,40.65,-42.79,14,other_sea
138,3,40.34,-43.23,14,other_sea
139,3,40.02,-43.67,14,other_sea
140,3,39.71,-44.09,14,other_sea
141,3,39.39,-44.52,14,other_sea
142,3,39.07,-44.93,14,other_sea
143,3,38.75,-45.34,14,other_sea
144,3,38.42,-45.74,14,other_sea
145,3,38.1,-46.14,14,other_sea
1,4,38.68,46.23,15,other_land
2,4,39.01,45.82,15,other_land
3,4,39.34,45.41,15,other_land
